"","LOINC_NUM","COMPONENT","SYSTEM","LONG_COMMON_NAME","RELATEDNAMES2"
"8163","88254-8","Citrobacter sp ompA+mrkC-Gene","Blut.positives Wachstum","Citrobacter sp ompA+mrkC-Gene [Nachweis] in positiver Blutkultur mit Sonde",""
"8164","85681-5","Haemophilus influenzae dcs-Gen","XXX","Haemophilus influenzae dcs-Gen [Zyklusschwellenwert #] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion",""
"8165","85749-0","Streptococcus pneumoniae Dänische Serotypen 22A+22F DNA","XXX","Streptococcus pneumoniae Dänische Serotypen 22A+22F DNA [Zyklusschwellenwert #] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion",""
"8166","85776-3","Proteus sp DNA","Blut.positives Wachstum","Proteus sp DNA [Nachweis] in positiver Blutkultur mit Nukleinsäureamplifikation mit Detektion ohne Sonde",""
"8167","85779-7","Neisseria meningitidis DNA","Blut.positives Wachstum","Neisseria meningitidis DNA [Nachweis] in positiver Blutkultur mit Nukleinsäureamplifikation mit Detektion ohne Sonde",""
"8168","85786-2","Bakterielle Methicillin-Resistenz mecA-Gen","Blut.positives Wachstum","Methicillin-Resistenz mecA-Gen [Nachweis] in positiver Blutkultur mit Nukleinsäureamplifikation mit Detektion ohne Sonde",""
"8169","85788-8","Bakterielle Carbapenem-Resistenz blaKPC-Gen","Blut.positives Wachstum","Carbapenem-Resistenz blaKPC-Gen [Nachweis] in positiver Blutkultur mit Nukleinsäureamplifikation mit Detektion ohne Sonde",""
"8170","85796-1","Röteln-Virus E1-Gen","XXX","Röteln-Virus E1-Gen [Zyklusschwellenwert #] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion",""
"8171","85802-7","Influenza-Virus A H1 Ag","Isolat","Influenza-Virus A H1 Antigen [Titer] in Isolat mit Hämagglutinationshemmtest",""
"8172","88195-3","Influenza-Virus B RNA","Kornea/Konjunktiva","Influenza-Virus B RNA [Nachweis] in Kornea bzw. Konjunktiva mit Nukleinsäureamplifikation mit Sondendetektion",""
"8173","88246-4","Bakterielle Carbapenem-Resistenz blaKPC-Gen","Blut.positives Wachstum","Carbapenem-Resistenz blaKPC-Gen [Nachweis] in positiver Blutkultur mit Sonde",""
"8174","88251-4","Bakterielle Methicillin-Resistenz mecA-Gen","Blut.positives Wachstum","Methicillin-Resistenz mecA-Gen [Nachweis] in positiver Blutkultur mit Sonde",""
"8175","88252-2","Bakterielle Vancomycin-Resistenz vanA-Gen","Blut.positives Wachstum","Vancomycin-Resistenz vanA-Gen [Nachweis] in positiver Blutkultur mit Sonde",""
"8176","88263-9","Klebsiella oxytoca ompA-Gen","Blut.positives Wachstum","Klebsiella oxytoca ompA-Gen [Nachweis] in positiver Blutkultur mit Sonde",""
"8177","88191-2","Krim-Kongo-Hämorrhagisches-Fieber-Virus Ak.IgG","Serum","Krim-Kongo-Hämorrhagisches-Fieber-Virus IgG-Antikörper [Nachweis] in Serum mit Immunoassay","Crimean-Congo hemorrhagic fever orthonairovirus; CCHFV"
"8178","88193-8","Influenza-Virus A RNA","Kornea/Konjunktiva","Influenza-Virus A RNA [Nachweis] in Kornea bzw. Konjunktiva mit Nukleinsäureamplifikation mit Sondendetektion",""
"8179","88214-2","Rabies-Virus RNA","Gewebe","Rabies-Virus RNA [Nachweis] in Gewebe mit Nukleinsäureamplifikation mit Sondendetektion","Rabies lyssavirus"
"8180","88216-7","Hantavirus-Typ-Puumala-RNA","Urin","Hantavirus Typ Puumala RNA [Nachweis] in Urin mit Nukleinsäureamplifikation mit Sondendetektion","Puumala orthohantavirus; Puumala-Virus"
"8181","88220-9","Hantavirus-Typ-Puumala-RNA","Blut","Hantavirus Typ Puumala RNA [Nachweis] in Blut mit Nukleinsäureamplifikation mit Sondendetektion","Puumala orthohantavirus; Puumala-Virus"
"8182","88244-9","Acinetobacter sp rpsA-Gen","Blut.positives Wachstum","Acinetobacter sp rpsA-Gen [Nachweis] in positiver Blutkultur mit Sonde",""
"8183","88248-0","Bakterielle Carbapenem-Resistenz blaOXA-Gen","Blut.positives Wachstum","Carbapenem-Resistenz blaOXA-Gen [Nachweis] in positiver Blutkultur mit Sonde",""
"8184","88267-0","Proteus sp atpD-Gen","Blut.positives Wachstum","Proteus sp atpD-Gen [Nachweis] in positiver Blutkultur mit Sonde",""
"8185","88264-7","Klebsiella pneumoniae yggE-Gen","Blut.positives Wachstum","Klebsiella pneumoniae yggE-Gen [Nachweis] in positiver Blutkultur mit Sonde",""
"8186","88456-9","California-Enzephalitis-Virus Ak.IgG+IgM","Serum","California-Enzephalitis-Virus IgG+IgM-Antikörper [Interpretation] in Serum mit Immunfluoreszenztest",""
"8187","88462-7","Carbapenem","Isolat","Carbapenem [Empfindlichkeit]",""
"8188","88-5","Cefmetazol","Isolat","Cefmetazol [Empfindlichkeit] mit minimaler Hemmkonzentration (MHK)",""
"8189","88565-7","Varicella-Zoster-Virus DNA","Respirationstrakt.unterer","Varicella-Zoster-Virus DNA [Nachweis] in Probenmaterial aus dem unteren Respirationstrakt mit Nukleinsäureamplifikation mit Sondendetektion","Human alphaherpesvirus 3; VZV"
"8190","88600-2","Influenza-Virus A RNA","Perikardflüssigkeit","Influenza-Virus A RNA [Nachweis] in Perikardflüssigkeit mit Nukleinsäureamplifikation mit Sondendetektion",""
"8191","88568-1","Influenza-Virus identifiziert","Respirationstrakt.unterer","Influenza-Virus identifiziert in Probenmaterial aus dem unteren Respirationstrakt mit erregerspezifischer Kultur",""
"8192","88581-4","Borrelia sp DNA","Zerebrospinalflüssigkeit","Borrelia sp DNA [Nachweis oder Identität] in Zerebrospinalflüssigkeit mit Nukleinsäureamplifikation mit Sondendetektion",""
"8193","88584-8","Corynebacterium diphtheriae","Respirationstrakt.oberer","Corynebacterium diphtheriae [Nachweis] in Probenmaterial aus dem oberem Respirationstrakt mit erregerspezifischer Kultur",""
"8194","88589-7","Clostridium botulinum Toxin","Serum","Clostridium botulinum Toxin [Nachweis oder Identität] in Serum mit Maus-Bioassay.Neutralisation",""
"8195","88590-5","Legionella pneumophila DNA","Respirationstrakt.unterer","Legionella pneumophila DNA [Nachweis] in Probenmaterial aus dem unteren Respirationstrakt mit Nukleinsäureamplifikation mit Sondendetektion",""
"8196","88598-8","Toskana-Virus RNA","Zerebrospinalflüssigkeit","Toskana-Virus RNA [Nachweis] in Zerebrospinalflüssigkeit mit Nukleinsäureamplifikation mit Sondendetektion","TOS; Sandmücken-Fieber; Toscana-Virus"
"8197","88599-6","Influenza-Virus A RNA","Respirationstrakt.unterer","Influenza-Virus A RNA [Nachweis] in Probenmaterial aus dem unteren Respirationstrakt mit Nukleinsäureamplifikation mit Sondendetektion",""
"8198","88707-5","Moxifloxacin 0,25 µg/mL","Isolat","Moxifloxacin 0,25 µg/mL [Empfindlichkeit] mit Methode für langsam wachsende Mykobakterien",""
"8199","88835-4","Influenza-Virus A Schwein Herkunft RNA","XXX","Influenza-Virus A Schwein-Herkunft RNA [Zyklusschwellenwert #] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion",""
"8200","88874-3","Mycobacterium-tuberculosis-Komplex DNA","Isolat oder Probenmaterial","Mycobacterium tuberculosis Komplex DNA [Nachweis] in Isolat oder Probenmaterial, molekulargenetisch",""
"8201","88886-7","Telavancin","Isolat","Telavancin [Empfindlichkeit]",""
"8202","88927-9","Cryptosporidium sp DNA","Gewebe","Cryptosporidium sp DNA [Nachweis] in Gewebe mit Nukleinsäureamplifikation mit Sondendetektion",""
"8203","88928-7","Cryptosporidium sp DNA","Stuhl","Cryptosporidium sp DNA [Nachweis] in Stuhl mit Nukleinsäureamplifikation mit Sondendetektion",""
"8204","88577-2","Legionella pneumophila DNA","Gewebe","Legionella pneumophila DNA [Nachweis] in Gewebe mit Nukleinsäureamplifikation mit Sondendetektion",""
"8205","88578-0","Clostridium botulinum Toxin","Stuhl","Clostridium botulinum Toxin [Nachweis oder Identität] in Stuhl mit Maus-Bioassay.Neutralisation",""
"8206","88586-3","Shigella sp identifiziert","Stuhl","Shigella sp identifiziert in Stuhl mit erregerspezifischer Kultur",""
"8207","88592-1","Influenza-Virus B RNA","Respirationstrakt.unterer","Influenza-Virus B RNA [Nachweis] in Probenmaterial aus dem unteren Respirationstrakt mit Nukleinsäureamplifikation mit Sondendetektion",""
"8208","88703-4","Bedaquilin","Isolat","Bedaquilin [Empfindlichkeit] mit minimaler Hemmkonzentration (MHK)",""
"8209","89314-9","Bakterielles 23S rRNA-Gen Azithromycin-Resistenzmutation","Isolat oder Probenmaterial","Bakterielles 23S rRNA-Gen Mutation zu Azithromycin-Resistenz [Nachweis], molekulargenetisch",""
"8210","88722-4","Streptococcus pneumoniae Serotyp","Isolat","Streptococcus pneumoniae Serotyp [Typ] in Isolat",""
"8211","88892-5","Meropenem+Vaborbactam","Isolat","Meropenem+Vaborbactam [Empfindlichkeit]",""
"8212","88899-0","Adenovirus","Kornea/Konjunktiva","Adenovirus [Nachweis] in Kornea bzw. Konjunktiva mit erregerspezifischer Kultur",""
"8213","88905-5","Influenza-Virus B Ag","Respirationstrakt.unterer","Influenza-Virus B Antigen [Nachweis] in Probenmaterial aus dem unteren Respirationstrakt mit Immunfluoreszenztest",""
"8214","85821-7","Influenza-Virus B Victoria-Abstammungslinie Ag","Isolat","Influenza-Virus-B Victoria-Abstammungslinie Antigen [Nachweis] in Isolat mit Hämagglutinationshemmtest",""
"8215","85822-5","Bakterielle Beta-Lactam-Resistenz AmpC blaCMY+blaMOX-Gene","Isolat oder Probenmaterial","Beta-Lactam-Resistenz AmpC blaCMY+blaMOX-Gene [Nachweis], molekulargenetisch",""
"8216","85823-3","Bakterielle Carbapenem-Resistenz blaGES-Gen","Isolat oder Probenmaterial","Carbapenem-Resistenz blaGES-Gen [Nachweis], molekulargenetisch",""
"8217","85824-1","Bakterielle Carbapenem-Resistenz blaIMP-Gen","Isolat","Carbapenem-Resistenz blaIMP-Gen [Nachweis] mit Nukleinsäureamplifikation mit Sondendetektion",""
"8218","85826-6","Bakterielle Carbapenem-Resistenz blaOXA-24-ähnliches Gen","Isolat oder Probenmaterial","Carbapenem-Resistenz blaOXA-24-ähnliches Gen [Nachweis], molekulargenetisch",""
"8219","85829-0","Bakterielle Carbapenem-Resistenz blaSPM-Gen","Isolat oder Probenmaterial","Carbapenem-Resistenz blaSPM-Gen [Nachweis], molekulargenetisch",""
"8220","85830-8","Bakterielle Carbapenem-Resistenz blaVIM-Gen","Isolat","Carbapenem-Resistenz blaVIM-Gen [Nachweis] mit Nukleinsäureamplifikation mit Sondendetektion",""
"8221","85834-0","Bakterielle Beta-Lactam-Resistenz ESBL blaCTX-M-9-Gruppe-Gen","Isolat oder Probenmaterial","Beta-Lactam-Resistenz ESBL blaCTX-M-9-Gruppe-Gen [Nachweis], molekulargenetisch","Extended Spectrum beta-lactamases"
"8222","85836-5","Bakterielle Beta-Lactam-Resistenz ESBL blaGES-Gen","Isolat oder Probenmaterial","Beta-Lactam-Resistenz ESBL blaGES-Gen [Nachweis], molekulargenetisch","Extended Spectrum beta-lactamases"
"8223","85840-7","Bakterielle Beta-Lactam-Resistenz ESBL blaVEB-Gen","Isolat oder Probenmaterial","Beta-Lactam-Resistenz ESBL blaVEB-Gen [Nachweis], molekulargenetisch","Extended Spectrum beta-lactamases"
"8224","86190-6","Zika-Virus RNA","Plasma^Donor","Zika-Virus RNA [Nachweis] in Plasma von Donor mit Nukleinsäureamplifikation mit Sondendetektion",""
"8225","86199-7","Rotavirus A Ag","Gewebe","Rotavirus A Antigen [Nachweis] in Gewebe mit Immunfärbung",""
"8226","86220-1","Bakterielle Carbapenem-Resistenz blaOXA-48-Gen","XXX","Carbapenem-Resistenz blaOXA-48-Gen [Nachweis] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion",""
"8227","86234-2","Neisseria meningitidis Serogruppe A sacB-Gen","XXX","Neisseria meningitidis Serogruppe A sacB-Gen [Zyklusschwellenwert #] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion",""
"8228","86236-7","Neisseria meningitidis Serogruppe C synE-Gen","XXX","Neisseria meningitidis Serogruppe C synE-Gen [Zyklusschwellenwert #] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion",""
"8229","86238-3","Neisseria meningitidis Serogruppe X xcbB-Gen","XXX","Neisseria meningitidis Serogruppe X xcbB-Gen [Zyklusschwellenwert #] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion",""
"8230","89481-6","Gentamicin","Isolat","Gentamicin [Empfindlichkeit] mit genotypischer Methode",""
"8231","89483-2","Capreomycin","Isolat","Capreomycin [Empfindlichkeit] mit genotypischer Methode",""
"8232","89485-7","Clarithromycin","Isolat","Clarithromycin [Empfindlichkeit] mit genotypischer Methode",""
"8233","89488-1","Isoniazid","Isolat","Isoniazid [Empfindlichkeit] mit genotypischer Methode",""
"8234","89491-5","Ethambutol","Isolat","Ethambutol [Empfindlichkeit] mit genotypischer Methode",""
"8235","89369-3","Zika-Virus Nichtstrukturprotein 1 Ak.IgM","Serum oder Plasma","Zika-Virus Nichtstrukturprotein 1 IgM-Antikörper [Einheiten/Volumen] in Serum oder Plasma mit Immunoassay",""
"8236","89370-1","Zika-Virus Nichtstrukturprotein 1 Ak.IgM","Serum","Zika-Virus Nichtstrukturprotein 1 IgM-Antikörper [Interpretation] in Serum mit Immunoassay",""
"8237","89480-8","Azithromycin","Isolat","Azithromycin [Empfindlichkeit] mit genotypischer Methode",""
"8238","89590-4","Zika-Virus Ak.IgG","Serum","Zika-Virus IgG-Antikörper [Titer] in Serum mit Immunfluoreszenztest",""
"8239","89661-3","Mikroskopische Beobachtung","Respirationstrakt.oberer","Mikroskopische Beobachtung [Nachweis oder Identität] in Probenmaterial aus dem oberem Respirationstrakt mit säurefester Färbung",""
"8240","86327-4","Bordetella parapertussis IS1001 DNA","XXX","Bordetella parapertussis IS1001 DNA [Zyklusschwellenwert #] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion",""
"8241","86329-0","Adenovirus 16 DNA","XXX","Adenovirus B(16) DNA [Nachweis] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion","Human adenovirus 16"
"8242","86333-2","Adenovirus 4 DNA","XXX","Adenovirus E(4) DNA [Nachweis] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion","Human adenovirus E4"
"8243","86518-8","Ebola-Virus RNA","Blut","Ebola-Virus RNA [Nachweis] in Blut mit Nukleinsäureamplifikation mit Sondendetektion","EboV"
"8244","86572-5","Influenza-Virus B RNA","Gewebe","Influenza-Virus B RNA [Nachweis] in Gewebe mit Nukleinsäureamplifikation mit Sondendetektion",""
"8245","89596-1","Listeria monocytogenes DNA","Blut","Listeria monocytogenes DNA [Nachweis] in Blut mit Nukleinsäureamplifikation mit Sondendetektion",""
"8246","89635-7","Mycobacterium tuberculosis DNA","Implantiertes Medizinprodukt","Mycobacterium tuberculosis DNA [Nachweis] in implantiertem Medizinprodukt mit Nukleinsäureamplifikation mit Sondendetektion",""
"8247","89662-1","Mikroskopische Beobachtung","Respirationstrakt.unterer","Mikroskopische Beobachtung [Nachweis oder Identität] in Probenmaterial aus dem unteren Respirationstrakt mit säurefester Färbung",""
"8248","90287-4","Norovirus RNA","Vomitus","Norovirus RNA [Nachweis] in Erbrochenem mit Nukleinsäureamplifikation mit Sondendetektion",""
"8249","90849-1","Cefpodoxim 4,0 µg/mL","Isolat","Cefpodoxim 4 µg/mL [Empfindlichkeit] mit Methode für langsam wachsende Mykobakterien",""
"8250","90-1","Cefmetazol","Isolat + Serum","Cefmetazol [Empfindlichkeit] mit bakterizider Aktivität im Serum",""
"8251","90442-5","Coxiella burnetii aroE-Gen","Gewebe","Coxiella burnetii aroE-Gen [Nachweis] in Gewebe mit Nukleinsäureamplifikation mit Detektion ohne Sonde",""
"8252","90767-5","Übersicht der Schwangerschaft","^Patient","Übersicht der Schwangerschaft - Dokument",""
"8253","90886-3","Influenza-Virus B RNA","XXX","Influenza-Virus B RNA [Zyklusschwellenwert #] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion",""
"8254","91070-3","Hepatitis-A-Virus RNA","Stuhl","Hepatitis-A-Virus RNA [Nachweis] in Stuhl mit Nukleinsäureamplifikation mit Sondendetektion","Hepatovirus A; HAV"
"8255","91072-9","Influenza-Virus-A-Subtyp","Respirationstrakt.unterer","Influenza-Virus A-Subtyp [Nachweis oder Identität] in Probenmaterial aus dem unteren Respirationstrakt mit Nukleinsäureamplifikation mit Sondendetektion",""
"8256","91077-8","Masern-Virus RNA","Respirationstrakt.oberer","Masern-Virus RNA [Nachweis] in Probenmaterial aus dem oberem Respirationstrakt mit Nukleinsäureamplifikation mit Sondendetektion","Measles morbillivirus"
"8257","91079-4","Zika-Virus RNA","Plazenta","Zika-Virus RNA [Nachweis] in Plazenta mit Nukleinsäureamplifikation mit Sondendetektion",""
"8258","91080-2","Zika-Virus Ak.IgG","Serum oder Plasma","Zika-Virus IgG-Antikörper [Nachweis] in Serum oder Plasma mit Immunoassay",""
"8259","89482-4","Kanamycin","Isolat","Kanamycin [Empfindlichkeit] mit genotypischer Methode",""
"8260","89484-0","Amikacin","Isolat","Amikacin [Empfindlichkeit] mit genotypischer Methode",""
"8261","89489-9","Rifampicin","Isolat","Rifampicin [Empfindlichkeit] mit genotypischer Methode",""
"8262","89589-6","Varicella-Zoster-Virus Ag","Zerebrospinalflüssigkeit","Varicella-Zoster-Virus Antigen [Nachweis] in Zerebrospinalflüssigkeit mit Immunfluoreszenztest","Human alphaherpesvirus 3; VZV"
"8263","89649-8","Coxiella burnetii DNA","Implantiertes Medizinprodukt","Coxiella burnetii DNA [Nachweis] in implantiertem Medizinprodukt mit Nukleinsäureamplifikation mit Sondendetektion",""
"8264","90003-5","Acinetobacter sp identifiziert","XXX","Acinetobacter sp identifiziert in Probenmaterial mit erregerspezifischer Kultur",""
"8265","90288-2","Norovirus Genotypgruppe I RNA","Vomitus","Norovirus Genotypgruppe I RNA [Nachweis] in Erbrochenem mit Nukleinsäureamplifikation mit Sondendetektion",""
"8266","90289-0","Norovirus Genotypgruppe II RNA","Vomitus","Norovirus Genotypgruppe II RNA [Nachweis] in Erbrochenem mit Nukleinsäureamplifikation mit Sondendetektion",""
"8267","91130-5","Hantavirus RNA","Respirationstrakt.unterer","Hantavirus RNA [Nachweis] in Probenmaterial aus dem unteren Respirationstrakt mit Nukleinsäureamplifikation mit Sondendetektion","Orthohantavirus"
"8268","91560-3","Datum der Abreise vom Reiseziel","^Patient","Datum der Abreise vom Reiseziel",""
"8269","91771-6","Influenza-Virus-A-Subtyp","Respirationstrakt.oberer","Influenza-Virus A-Subtyp [Nachweis oder Identität] in Probenmaterial aus dem oberem Respirationstrakt mit Nukleinsäureamplifikation mit Sondendetektion",""
"8270","91772-4","Influenza-Virus identifiziert","Respirationstrakt.oberer","Influenza-Virus identifiziert in Probenmaterial aus dem oberem Respirationstrakt mit erregerspezifischer Kultur",""
"8271","91780-7","Masern-Virus","Respirationstrakt.unterer","Masern-Virus [Nachweis] in Probenmaterial aus dem unteren Respirationstrakt mit erregerspezifischer Kultur","Measles morbillivirus"
"8272","90850-9","Ceftazidim 1,0 µg/mL","Isolat","Ceftazidim 1 µg/mL [Empfindlichkeit] mit Methode für langsam wachsende Mykobakterien",""
"8273","90885-5","Influenza-Virus D RNA","XXX","Influenza-Virus D RNA [Zyklusschwellenwert #] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion",""
"8274","91071-1","Hepatitis-E-Virus RNA","Stuhl","Hepatitis-E-Virus RNA [Nachweis] in Stuhl mit Nukleinsäureamplifikation mit Sondendetektion","HEV"
"8275","91075-2","Rabies-Virus Ag","Speichel","Rabies-Virus Antigen [Nachweis] in Speichel mit Immunoassay","Rabies lyssavirus"
"8276","91678-3","Zika-Virus Ak.IgM","Serum, Plasma oder Blut","Zika-Virus IgM-Antikörper [Nachweis] in Serum, Plasma oder Blut mit Immunoassay-Schnelltest",""
"8277","91786-4","Masern-Virus","Respirationstrakt.oberer","Masern-Virus [Nachweis] in Probenmaterial aus dem oberem Respirationstrakt mit erregerspezifischer Kultur","Measles morbillivirus"
"8278","91787-2","Mumps-Virus","Respirationstrakt.oberer","Mumps-Virus [Nachweis] in Probenmaterial aus dem oberem Respirationstrakt mit erregerspezifischer Kultur","Mumps rubulavirus"
"8279","86581-6","Neisseria meningitidis","Zerebrospinalflüssigkeit","Neisseria meningitidis [Nachweis] in Zerebrospinalflüssigkeit mit erregerspezifischer Kultur",""
"8280","86589-9","Röteln-Virus RNA","Urin","Röteln-Virus RNA [Nachweis] in Urin mit Nukleinsäureamplifikation mit Sondendetektion",""
"8281","86593-1","Varicella-Zoster-Virus DNA","Amnionflüssigkeit","Varicella-Zoster-Virus DNA [Nachweis] in Amnionflüssigkeit mit Nukleinsäureamplifikation mit Sondendetektion","Human alphaherpesvirus 3; VZV"
"8282","86620-2","Bakterielle Methicillin-Resistenz mecA+mecC-Gene","Nase","Methicillin-Resistenz mecA+mecC-Gene [Nachweis] in Nase mit Nukleinsäureamplifikation mit Sondendetektion",""
"8283","86621-0","Bakterielle Methicillin-Resistenz mecC-Gen","Isolat oder Probenmaterial","Methicillin-Resistenz mecC-Gen [Nachweis], molekulargenetisch",""
"8284","86692-1","Rotavirus A RNA","XXX","Rotavirus A RNA [Nachweis] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion",""
"8285","86713-5","Bakterielle Carbapenem-Resistenz blaOXA-134-ähnliches Gen","Isolat oder Probenmaterial","Carbapenem-Resistenz blaOXA-134-ähnliches Gen [Nachweis], molekulargenetisch",""
"8286","86858-8","Dengue-Virus 2 Ak.neutralisierend","XXX","Dengue-Virus 2 neutralisierender Antikörper [Titer] in Probenmaterial mit Neutralisationstest",""
"8287","86860-4","Dengue-Virus 1 Ak.neutralisierend","XXX","Dengue-Virus 1 neutralisierender Antikörper [Titer] in Probenmaterial mit Neutralisationstest",""
"8288","91792-2","Röteln-Virus RNA","Respirationstrakt.oberer","Röteln-Virus RNA [Nachweis] in Probenmaterial aus dem oberem Respirationstrakt mit Nukleinsäureamplifikation mit Sondendetektion",""
"8289","91816-9","Bordetella parapertussis DNA","Respirationstrakt.oberer","Bordetella parapertussis DNA [Nachweis] in Probenmaterial aus dem oberem Respirationstrakt mit Nukleinsäureamplifikation mit Sondendetektion",""
"8290","91830-0","Middle East respiratory syndrome coronavirus (MERS CoV) RNA","Respirationstrakt.unterer","Middle East respiratory syndrome-Coronavirus (MERS-CoV) RNA [Nachweis] in Probenmaterial aus dem unteren Respirationstrakt mit Nukleinsäureamplifikation mit Sondendetektion",""
"8291","91869-8","Bordetella pertussis DNA","Rachen","Bordetella pertussis DNA [Nachweis] im Rachen mit Nukleinsäureamplifikation mit Sondendetektion",""
"8292","91805-2","Mycobacterium leprae DNA","Respirationstrakt.oberer","Mycobacterium leprae DNA [Nachweis] in Probenmaterial aus dem oberem Respirationstrakt mit Nukleinsäureamplifikation mit Sondendetektion",""
"8293","91807-8","Middle East respiratory syndrome coronavirus (MERS CoV) RNA","Respirationstrakt.oberer","Middle East respiratory syndrome-Coronavirus (MERS-CoV) RNA [Nachweis] in Probenmaterial aus dem oberem Respirationstrakt mit Nukleinsäureamplifikation mit Sondendetektion",""
"8294","91868-0","Bordetella parapertussis DNA","Rachen","Bordetella parapertussis DNA [Nachweis] im Rachen mit Nukleinsäureamplifikation mit Sondendetektion",""
"8295","92243-5","Mikroorganismus Resistenzmutation getestet auf","Isolat oder Probenmaterial","Resistenzmutation eines Mikroorganismus (Test auf), molekulargenetisch",""
"8296","90459-9","Gelbfieber-Virus RNA","Blut","Gelbfieber-Virus RNA [Nachweis] in Blut mit Nukleinsäureamplifikation mit Sondendetektion",""
"8297","91076-0","Rabies-Virus Ag","Gewebe","Rabies-Virus Antigen [Nachweis] in Gewebe mit Immunoassay","Rabies lyssavirus"
"8298","91078-6","Zika-Virus RNA","Blut","Zika-Virus RNA [Nachweis] in Blut mit Nukleinsäureamplifikation mit Sondendetektion",""
"8299","9274-2","Score^5 Minuten nach Geburt","^Patient","5-min-Apgar-Score",""
"8300","91806-0","Mumps-Virus RNA","Respirationstrakt.oberer","Mumps-Virus RNA [Nachweis] in Probenmaterial aus dem oberem Respirationstrakt mit Nukleinsäureamplifikation mit Sondendetektion","Mumps rubulavirus"
"8301","92241-9","Vancomycin","Isolat","Vancomycin [Empfindlichkeit] mit genotypischer Methode",""
"8302","92245-0","Mikroorganismus Resistenzmutation Nukleinsäureveränderung","Isolat oder Probenmaterial","Nukleinsäureveränderung der Resistenzmutation eines Mikroorganismus, molekulargenetisch",""
"8303","92687-3","Giardia lamblia DNA","Stuhl","Giardia lamblia DNA [Nachweis] in Stuhl mit Nukleinsäureamplifikation mit Sondendetektion",""
"8304","92688-1","Cryptosporidium parvum+hominis DNA","Stuhl","Cryptosporidium parvum+hominis DNA [Nachweis] in Stuhl mit Nukleinsäureamplifikation mit Sondendetektion",""
"8305","92244-3","Mikroorganismus Resistenzmutation Nukleinsäureveränderungstyp","Isolat oder Probenmaterial","Typ der Nukleinsäureveränderung der Resistenzmutation eines Mikroorganismus, molekulargenetisch",""
"8306","92246-8","Mikroorganismus Resistenzmutation entdeckt","Isolat oder Probenmaterial","Resistenzmutation eines Mikroorganismus entdeckt [Nachweis], molekulargenetisch",""
"8307","92247-6","Mikroorganismus Resistenzmutation Aminosäurenveränderung","Isolat oder Probenmaterial","Typ der Aminosäureveränderung der Resistenzmutation eines Mikroorganismus, molekulargenetisch",""
"8308","92255-9","Methicillin","Isolat","Methicillin [Empfindlichkeit] mit genotypischer Methode",""
"8309","9271-8","Score^10 Minuten nach Geburt","^Patient","10-min-Apgar-Score",""
"8310","92723-6","Yersinia enterocolitica DNA","Stuhl","Yersinia enterocolitica DNA [Nachweis] in Stuhl mit Nukleinsäureamplifikation mit Sondendetektion",""
"8311","86861-2","Dengue-Virus 4 Ak.neutralisierend","XXX","Dengue-Virus 4 neutralisierender Antikörper [Titer] in Probenmaterial mit Neutralisationstest",""
"8312","86862-0","Dengue-Virus 4 Ak.neutralisierend","XXX","Dengue-Virus 4 neutralisierender Antikörper [Nachweis] in Probenmaterial mit Neutralisationstest",""
"8313","86865-3","Dengue-Virus 1 Ak.neutralisierend","XXX","Dengue-Virus 1 neutralisierender Antikörper [Nachweis] in Probenmaterial mit Neutralisationstest",""
"8314","87319-0","Escherichia coli enteroaggregativ astA-Gen","Isolat","Escherichia coli enteroaggregativ astA-Gen [Nachweis] in Isolat mit Nukleinsäureamplifikation mit Sondendetektion",""
"8315","87380-2","Escherichia coli Stx2e-Toxin stx2e-Gen","Isolat","Escherichia coli Stx2e-Toxin stx2e-Gen [Nachweis] in Isolat mit Nukleinsäureamplifikation mit Sondendetektion",""
"8316","87395-0","West-Nil-Virus RNA","XXX","West-Nil-Virus RNA [Zyklusschwellenwert #] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion",""
"8317","87711-8","Rotavirus B VP7-Gen","Isolat","Rotavirus B VP7-Gen [Nukleotidsequenz] in Isolat mit Sequenzierung",""
"8318","87712-6","Rotavirus A VP7-Gen","Isolat","Rotavirus A VP7-Gen [Nukleotidsequenz] in Isolat mit Sequenzierung",""
"8319","87713-4","Rotavirus A VP4-Gen","Isolat","Rotavirus A VP4-Gen [Nukleotidsequenz] in Isolat mit Sequenzierung",""
"8320","87714-2","Influenza-Virus A M-Gen","Isolat","Influenza-Virus A M-Gen [Nukleotidsequenz] in Isolat mit Sequenzierung",""
"8321","87735-7","Ceftolozan+Tazobactam","Isolat","Ceftolozan+Tazobactam [Empfindlichkeit] mit Gradientenstreifen",""
